"id","area","tipo","estado","ruta_o_url","fuente_relacionada","proximo_paso","notas","actualizado"
"control-contexto","documentacion","handoff","activo","docs/contexto-continuidad-codex.md","","Leer al iniciar un chat nuevo","Resumen narrativo para no perder contexto entre conversaciones.","2026-05-17"
"control-operativo","documentacion","csv","activo","docs/control_trabajo_codex.csv","","Mantener actualizado al cerrar tareas importantes","Tablero simple de estado operativo para trabajar en varios chats.","2026-05-17"
"mapa-seo","seo","csv","activo","docs/seo_content_map.csv","","Actualizar cada vez que se cree o cambie una URL SEO","Define dueños de keywords, roles de contenido y riesgos de canibalización.","2026-05-17"
"registro-fuentes","fuentes","csv","activo","docs/docs_recursos/registro_fuentes_blog.csv","","Registrar cada PDF usado antes de crear contenido","Evita repetir PDFs o usar la misma fuente para contenido canibalizado.","2026-05-17"
"guia-juguetes-utiles","contenido","pagina-evergreen","implementado","/comercio-exterior/importacion/importar-juguetes-utiles-escritorio/","docs/docs_recursos/03-8116237-resolucion-ministerial-n-457-2026-minsa.pdf","Revisar visualmente con browser desktop y móvil","Guía pilar sobre importar juguetes y útiles. La RM 457-2026/MINSA se trata como proyecto en consulta, no norma final vigente.","2026-05-17"
"pdf-checklist-juguetes","lead-magnet","pdf","implementado","public/recursos/checklist-importar-juguetes-utiles-escritorio.pdf","docs/docs_recursos/03-8116237-resolucion-ministerial-n-457-2026-minsa.pdf","Verificar descarga desde la página y lectura visual","Checklist complementario; no debe reemplazar el contenido HTML principal para SEO.","2026-05-17"
"patron-tarjetas-service-card","frontend","sistema-visual","implementado","src/app/globals.css","","Revisar visualmente hover, glow y espaciado en páginas principales","Patrón global de tarjetas blancas con borde suave, sombra, glow radial y elevación al hover. Replicado en hubs, blog, herramientas, componentes compartidos y páginas principales de servicios/comercio exterior.","2026-05-17"
"hubcards-global","frontend","componente","implementado","src/components/sections/HubCards.tsx","","Probar en /comercio-exterior/importacion/ y hubs principales","Usa service-card como patrón base para tarjetas de navegación/hub.","2026-05-17"
"blog-cards-global","frontend","componentes","implementado","src/components/blog/PostCard.tsx; src/components/blog/RecommendedReading.tsx; src/components/blog/RelatedServices.tsx; src/components/blog/ServiceCTA.tsx; src/components/blog/FaqGroup.tsx","","Revisar listados de blog y artículos individuales","Se adaptaron tarjetas y CTAs del blog al patrón global.","2026-05-17"
"forms-card-global","frontend","componente","implementado","src/components/forms/FormBase.tsx","","Revisar formularios en páginas de contacto y diagnóstico","Se corrigieron textos con signos/tildes y se conserva uso de Card global.","2026-05-17"
"revision-visual-browser","qa","revision-visual","completado","http://localhost:3000/comercio-exterior/importacion/","","Repetir si se modifica service-card o breadcrumbs","QA visual desktop/móvil realizado. Se verificó hub de importación, guía de juguetes, enlace al PDF y ausencia de overflow global; se corrigió breadcrumb móvil para ocultar scrollbar y usar etiqueta corta.","2026-05-17"
"siguiente-categoria-ferreteria","contenido","futuro","pendiente","/comercio-exterior/importacion/importar-productos-ferreteria/","","Esperar PDF o fuentes oficiales antes de construir","Página futura bajo la misma arquitectura evergreen por categoría.","2026-05-17"
"siguiente-categoria-veterinaria","contenido","futuro","pendiente","/comercio-exterior/importacion/importar-productos-veterinarios/","","Esperar PDF o fuentes oficiales antes de construir","Página futura bajo la misma arquitectura evergreen por categoría.","2026-05-17"
